sparsity,length,time_create_append,time_get_at_rank,time_get_at_index,time_num_elem_at,space,saving
0.050000,270000,0.323249,0.000050,0.000053,0.000124,589152,8211680
0.050000,275000,0.336514,0.000050,0.000054,0.000125,605816,8360448
0.050000,280000,0.346268,0.000050,0.000057,0.000123,616840,8513728
0.050000,285000,0.349795,0.000052,0.000062,0.000123,623784,8670272
0.050000,290000,0.367727,0.000050,0.000056,0.000130,644448,8815840
0.050000,295000,0.382455,0.000052,0.000057,0.000123,656752,8968096
0.050000,300000,0.395049,0.000051,0.000057,0.000125,668120,9121152
0.050000,305000,0.407693,0.000051,0.000057,0.000124,681240,9272704
0.050000,310000,0.423410,0.000051,0.000054,0.000123,696768,9422432
0.050000,315000,0.432203,0.000052,0.000056,0.000122,700952,9581184
0.050000,320000,0.449863,0.000051,0.000054,0.000124,722696,9725888
0.050000,325000,0.460812,0.000051,0.000058,0.000124,724360,9886656
0.050000,330000,0.473464,0.000052,0.000059,0.000124,740224,10036064
0.050000,335000,0.526170,0.000034,0.000059,0.000124,759288,10182912
0.050000,340000,0.511706,0.000035,0.000057,0.000126,774032,10333216
0.050000,345000,0.541051,0.000053,0.000061,0.000126,784536,10486912
0.050000,350000,0.546458,0.000034,0.000056,0.000124,798440,10637888
0.050000,355000,0.539525,0.000053,0.000068,0.000129,797648,10800672
0.050000,360000,0.570020,0.000034,0.000060,0.000123,820712,10944320
0.050000,365000,0.579160,0.000034,0.000058,0.000122,829856,11099104
0.050000,370000,0.625550,0.000039,0.000057,0.000123,839400,11253568
0.050000,375000,0.613593,0.000045,0.000060,0.000124,851504,11405984
0.050000,380000,0.626736,0.000056,0.000064,0.000126,868128,11554784
0.050000,385000,0.654157,0.000042,0.000056,0.000125,879752,11707584
0.050000,390000,0.668399,0.000051,0.000063,0.000125,902176,11851744
0.050000,395000,0.688907,0.000049,0.000059,0.000125,921224,11998656
0.050000,400000,0.703371,0.000053,0.000061,0.000125,929488,12154144
0.050000,405000,0.704143,0.000054,0.000065,0.000125,931352,12314752
0.050000,410000,0.716515,0.000055,0.000065,0.000137,942056,12468288
0.050000,415000,0.750327,0.000052,0.000057,0.000125,967200,12610272
0.050000,420000,0.766381,0.000053,0.000060,0.000124,981464,12760960
0.050000,425000,0.766624,0.000052,0.000063,0.000124,976488,12927040
0.050000,430000,0.812758,0.000052,0.000065,0.000124,999912,13070400
0.050000,435000,0.808342,0.000055,0.000064,0.000133,998296,13233792
0.050000,440000,0.849313,0.000055,0.000067,0.000125,1011720,13385152
0.050000,445000,0.878018,0.000054,0.000062,0.000126,1032448,13530720
0.050000,450000,0.897609,0.000053,0.000062,0.000126,1047872,13680480
0.050000,455000,0.879087,0.000055,0.000060,0.000127,1047536,13842848
0.050000,460000,0.923688,0.000053,0.000061,0.000126,1071800,13985536
0.050000,465000,0.935726,0.000055,0.000061,0.000124,1082544,14139040
0.050000,470000,0.968996,0.000054,0.000060,0.000124,1097608,14289088
0.050000,475000,0.975036,0.000052,0.000062,0.000130,1117632,14435168
0.050000,480000,0.984676,0.000057,0.000065,0.000125,1120896,14594656
0.050000,485000,1.010697,0.000063,0.000061,0.000124,1141784,14740096
0.050000,490000,1.025544,0.000057,0.000068,0.000126,1142808,14901376
0.050000,495000,1.093006,0.000053,0.000064,0.000126,1171432,15040576
0.050000,500000,1.068591,0.000054,0.000064,0.000128,1169736,15204032
0.050000,505000,1.092544,0.000056,0.000061,0.000126,1191200,15348960
0.050000,510000,1.122991,0.000053,0.000065,0.000126,1193024,15509600
0.050000,515000,1.137599,0.000055,0.000068,0.000125,1215608,15653632
0.050000,520000,1.172494,0.000053,0.000064,0.000124,1220432,15811872
0.050000,525000,1.104785,0.000054,0.000065,0.000124,1213936,15968160
0.050000,530000,1.105306,0.000055,0.000063,0.000124,1241592,16108032
0.050000,535000,1.107225,0.000054,0.000064,0.000124,1251248,16262304
0.050000,540000,1.105276,0.000054,0.000065,0.000146,1259120,16417952
0.050000,545000,1.132637,0.000054,0.000066,0.000125,1284200,16559936
0.050000,550000,1.136966,0.000056,0.000065,0.000124,1281856,16723808
0.050000,555000,1.188668,0.000055,0.000067,0.000126,1303912,16868160
0.050000,560000,1.213598,0.000057,0.000068,0.000125,1313648,17022368
0.050000,565000,1.189887,0.000055,0.000064,0.000126,1315144,17183168
0.050000,570000,1.231924,0.000054,0.000065,0.000125,1340720,17324704
0.050000,575000,1.255551,0.000055,0.000065,0.000125,1353816,17476224
0.050000,580000,1.273144,0.000054,0.000073,0.000124,1363976,17630144
0.050000,585000,1.279256,0.000053,0.000062,0.000124,1368352,17788640
0.050000,590000,1.367048,0.000059,0.000075,0.000125,1377144,17943552
0.050000,595000,1.334345,0.000063,0.000073,0.000127,1396264,18090304
0.050000,600000,1.374844,0.000054,0.000073,0.000125,1423616,18230368
0.050000,605000,1.380098,0.000058,0.000066,0.000125,1428512,18388448
0.050000,610000,1.401484,0.000090,0.000070,0.000125,1437312,18543456
0.050000,615000,1.412386,0.000054,0.000075,0.000125,1438768,18704288
0.050000,620000,1.353326,0.000055,0.000065,0.000125,1455184,18853152
0.050000,625000,1.360508,0.000053,0.000078,0.000124,1467360,19005408
0.050000,630000,1.392779,0.000056,0.000070,0.000125,1486656,19151968
0.050000,635000,1.423100,0.000057,0.000066,0.000126,1506392,19298176
0.050000,640000,1.441914,0.000057,0.000068,0.000128,1517712,19451168
0.050000,645000,1.516562,0.000058,0.000071,0.000125,1525728,19606752
0.050000,650000,1.494121,0.000054,0.000072,0.000125,1545880,19752576
0.050000,655000,1.530686,0.000037,0.000067,0.000126,1555096,19907200
0.050000,660000,1.559631,0.000038,0.000068,0.000128,1564312,20061824
